file_path,file_size,file_md5,is_symlink
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150528_171010.mp4,108674142,89cf931cfaea4d80e902f4e9f495efd5,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180101_145910243.mp4,107476401,7e76fa658445258cf5a6557b19c786c7,False
/Users/arunpatro/My Drive/Books/EE/Power EC/Bimbhra.pdf,104088652,8233349d3530d562e0566df55b528415,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Digital/Quine-Mccluskey Method of Boolean Simplification.mp4,102094693,51c2d4bdd259dfb58d0bb2f8425dd886,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Designing a Lag Compensator with Bode Plot.mp4,101877496,e3e6a43464250e0dc3b53f6509ab9958,False
/Users/arunpatro/My Drive/Google Photos/2017/VID_20170728_221211421.mp4,101533614,f3d1e1b45231fc1f7b43448161f73e98,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Designing a Lead Compensator with Root Locus.mp4,98760835,0dee5dc0c45bb1308ce2c21c18b4ea0d,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_081925499.mp4,98590303,ca8db1b63002edee787bb9c140cbc8ae,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150322_222232098.mp4,98210091,969525e5596285589e76a26226edf91e,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180302_115816865.mp4,94161692,72a3ec576572dcb06306362c46b7220c,False
/Users/arunpatro/My Drive/Google Photos/2016/VID_20161216_162412.mp4,92782570,3a3c59636dc467dac2f089c442ae01d6,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180702_185016091.mp4,90606141,24d64ba75701fcaa45d10242eba34137,False
/Users/arunpatro/My Drive/Google Photos/2014/Coldplay - Clocks (Royksopp Remix) HD.mp4,90270427,aca7d321189b3944deae7575860fe75b,False
/Users/arunpatro/My Drive/Books/Machine Learning/RL - Sutton and Bartow.pdf,90258033,e06d4319d819e668217b8de8cb92b377,False
/Users/arunpatro/My Drive/Photos/EE 4th Year Industrial Trip/DSC_0104.MOV,88465483,4fd9b70215e3c172472e8ddf17eb22fe,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141214_184347065.mp4,84995009,1167f660fea6dd28ce0ab137344da4df,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Designing a Lag Compensator with Root Locus.mp4,83733747,80b77b0e6a7a0253cf1b24dc8b599e85,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/Power Systems/books/Modern Power Systems Analysis by DP Kothari & IJ Nagrath.pdf,83010900,4028a47b337d441be012bf9546a09f30,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180612_143045905.mp4,80627784,1fac067d840453c2b27652711f57c12f,False
/Users/arunpatro/My Drive/Google Photos/2014/Eminem - Space Bound.mp4,77651123,bac063827fd9c5a61ddd6f7e9b9e2aa9,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180611_175224569.mp4,76723702,d0fff09474fd04681670d98d962a8cd5,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150628_214109732.mp4,76264227,84aff1d18db51eae6f7900c5047fcbdc,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180226_030536373.mp4,75988034,815651474f0770d6be16cfe6d2f6227b,False
/Users/arunpatro/My Drive/Google Photos/2014/VID_20141214_203701992.mp4,75565996,920da3c21842e0b8cb4176193ae37dfa,False
