Pair,Count,Folder1,Folder2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/2')",7,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/1')",7,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/1
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e2', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e2')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e2,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e2
"('/Users/arunpatro/My Drive/Meesho', '/Users/arunpatro/My Drive/Taxes/India')",1,/Users/arunpatro/My Drive/Meesho,/Users/arunpatro/My Drive/Taxes/India
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP', '/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP')",3,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob assgnmnts')",3,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ProbStoc/prob assgnmnts
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/3')",12,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/3
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/bsd_natural', '/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/bsd_natural_2')",5,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/bsd_natural,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/results/bsd_natural_2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics')",2,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e1/ALL0016', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e1/ALL0017')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e1/ALL0016,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/2 Three-Phase Thyristor Converter/Tue E2++/e1/ALL0017
