Pair,Count,Folder1,Folder2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant', '/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/cuda')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/cuda
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ES LAB/verilog', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ES LAB/verilog/counter')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ES LAB/verilog,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 6/ES LAB/verilog/counter
"('/Users/arunpatro/My Drive/Books/Physics', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum')",1,/Users/arunpatro/My Drive/Books/Physics,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Quantum
"('/Users/arunpatro/My Drive/Google Photos/2015', ""/Users/arunpatro/My Drive/Photos/Year's end coffee"")",3,/Users/arunpatro/My Drive/Google Photos/2015,/Users/arunpatro/My Drive/Photos/Year's end coffee
"('/Users/arunpatro/My Drive/Google Photos/2018', '/Users/arunpatro/My Drive/Google Photos/2018')",1,/Users/arunpatro/My Drive/Google Photos/2018,/Users/arunpatro/My Drive/Google Photos/2018
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Realt Time Signal Processing', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Realt Time Signal Processing')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Realt Time Signal Processing,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 8/08-Realt Time Signal Processing
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/MTP Literature', '/Users/arunpatro/My Drive/Myntra/pdfs/papers')",4,/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/MTP Literature,/Users/arunpatro/My Drive/Myntra/pdfs/papers
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/5 PWM Non-PWM Inverter', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/5 PWM Non-PWM Inverter')",6,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/5 PWM Non-PWM Inverter,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/5 PWM Non-PWM Inverter
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/.git/logs', '/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/.git/logs/refs/heads')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/.git/logs,/Users/arunpatro/My Drive/IIT - KGP/Acads/BTP/btp/30quant/.git/logs/refs/heads
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Papers', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Tut')",2,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power EC/Papers,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/power-electronics/Power Electronics/Power Tut
"('/Users/arunpatro/My Drive/Books/calvin&hobbes', '/Users/arunpatro/My Drive/Books/calvin&hobbes')",1,/Users/arunpatro/My Drive/Books/calvin&hobbes,/Users/arunpatro/My Drive/Books/calvin&hobbes
"('/Users/arunpatro/My Drive/Books', '/Users/arunpatro/My Drive/Books/Power EC')",4,/Users/arunpatro/My Drive/Books,/Users/arunpatro/My Drive/Books/Power EC
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/master thesis', '/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/master thesis')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/master thesis,/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/master thesis
"('/Users/arunpatro/My Drive/ARCHIVE/SOP Samples from Raunak', '/Users/arunpatro/My Drive/Graduate School Applications')",1,/Users/arunpatro/My Drive/ARCHIVE/SOP Samples from Raunak,/Users/arunpatro/My Drive/Graduate School Applications
"('/Users/arunpatro/My Drive/Backup/Dropbox/alivehomes/tiny/test', '/Users/arunpatro/My Drive/Backup/Dropbox/alivehomes/tiny/test')",1,/Users/arunpatro/My Drive/Backup/Dropbox/alivehomes/tiny/test,/Users/arunpatro/My Drive/Backup/Dropbox/alivehomes/tiny/test
"('/Users/arunpatro/My Drive/Books', '/Users/arunpatro/My Drive/Myntra/pdfs')",1,/Users/arunpatro/My Drive/Books,/Users/arunpatro/My Drive/Myntra/pdfs
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Manual', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Manual')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Manual,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Manual
"('/Users/arunpatro/My Drive/Books', '/Users/arunpatro/My Drive/Books')",2,/Users/arunpatro/My Drive/Books,/Users/arunpatro/My Drive/Books
"('/Users/arunpatro/My Drive/Myntra/pdfs/papers', '/Users/arunpatro/My Drive/Myntra/pdfs/papers')",2,/Users/arunpatro/My Drive/Myntra/pdfs/papers,/Users/arunpatro/My Drive/Myntra/pdfs/papers
"('/Users/arunpatro/My Drive/Books - 2', '/Users/arunpatro/My Drive/Books - 2')",1,/Users/arunpatro/My Drive/Books - 2,/Users/arunpatro/My Drive/Books - 2
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/CSI Graphs/Graphs', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/CSI Graphs/Graphs')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/CSI Graphs/Graphs,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/CSI Graphs/Graphs
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/master thesis/figures', '/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/master thesis/imgs')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/master thesis/figures,/Users/arunpatro/My Drive/IIT - KGP/Acads/MTP/master thesis/imgs
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/5 PWM Non-PWM Inverter', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/5 PWM Non-PWM Inverter')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/5 PWM Non-PWM Inverter,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/5 PWM Non-PWM Inverter
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/5 PWM Non-PWM Inverter', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/5 PWM Non-PWM Inverter')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/5 PWM Non-PWM Inverter,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/5 PWM Non-PWM Inverter
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/NED mohan_PE/PSpice-based Examples/PE_PSpice_Files', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/NED mohan_PE/PSpice-based Examples/PE_PSpice_Files')",253,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/NED mohan_PE/PSpice-based Examples/PE_PSpice_Files,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/NED mohan_PE/PSpice-based Examples/PE_PSpice_Files
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/4', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/4')",21,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/4,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/3 PE Components/Traces/4
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/9 Flyback Converter', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/9 Flyback Converter')",2,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Lab Record/Readings + Graphs + Docs/9 Flyback Converter,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/Readings + Graphs + Docs/9 Flyback Converter
"('/Users/arunpatro/My Drive/Certificates', '/Users/arunpatro/My Drive/Certificates')",1,/Users/arunpatro/My Drive/Certificates,/Users/arunpatro/My Drive/Certificates
"('/Users/arunpatro/My Drive/Books/Power EC', '/Users/arunpatro/My Drive/Books/Power EC')",1,/Users/arunpatro/My Drive/Books/Power EC,/Users/arunpatro/My Drive/Books/Power EC
"('/Users/arunpatro/My Drive/ARCHIVE/Undergraduate University Applications', '/Users/arunpatro/My Drive/ARCHIVE/Undergraduate University Applications')",1,/Users/arunpatro/My Drive/ARCHIVE/Undergraduate University Applications,/Users/arunpatro/My Drive/ARCHIVE/Undergraduate University Applications
"('/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements', '/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements/IIT Medicine')",1,/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements,/Users/arunpatro/My Drive/IIT - KGP/IIT Requirements/IIT Medicine
"('/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls', '/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls')",1,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls,/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls
